customerID,0
5537-UXXVS,0
4983-CCWMC,0
9881-VCZEP,0
5172-RKOCB,0
6015-VVHHE,1
7493-TPUWZ,1
4871-JTKJF,1
5656-JAMLX,0
2703-AMTUL,0
9128-CPXKI,0
0224-RLWWD,0
5956-YHHRX,1
5696-EXCYS,0
3672-YITQD,1
9306-CPCBC,1
1587-FKLZB,1
8637-XJIVR,1
3865-YIOTT,1
2656-TABEH,1
9185-TQCVP,1
5228-EXCET,1
8564-LDKFL,1
8785-EPNCG,0
4785-QRJHC,0
0526-SXDJP,0
1260-TTRXI,1
4614-NUVZD,1
3348-CFRNX,0
4817-QRJSX,1
2808-CHTDM,0
4029-HPFVY,0
4140-WJAWW,1
8086-OVPWV,1
7434-SHXLS,1
0643-OKLRP,0
5075-JSDKI,0
2834-JRTUA,1
8785-CJSHH,1
2186-QZEYA,1
8739-WWKDU,1
0840-DCNZE,0
5188-HGMLP,1
9851-QXEEQ,1
9360-AHGNL,1
4361-BKAXE,1
5174-RNGBH,1
4958-XCBDQ,1
7541-YLXCL,0
7024-OHCCK,1
8034-RYTVV,0
3223-WZWJM,1
8570-KLJYJ,0
1899-VXWXM,1
3556-BVQGL,0
3570-YUEKJ,0
6502-MJQAE,1
3764-MNMOI,0
8364-TRMMK,1
6195-MELTI,0
2706-QZIHY,0
4430-YHXGG,0
8580-QVLOC,0
2777-PHDEI,1
0396-HUJBP,0
0637-KVDLV,1
9730-DRTMJ,0
3458-IDMFK,0
3930-ZGWVE,0
0256-LTHVJ,1
2718-YSKCS,0
7622-FWGEW,0
9776-CLUJA,1
2223-KAGMX,1
1689-MRZQR,1
3011-WQKSZ,0
6927-WTFIV,1
0266-CLZKZ,0
8541-QVFKM,1
3859-CVCET,1
1930-WNXSB,0
8224-KDLKN,0
2592-SEIFQ,1
1260-TTRXI,1
9943-VSZUV,1
4508-OEBEY,0
8469-SNFFH,0
0637-KVDLV,1
5919-TMRGD,1
9170-GYZJC,1
9412-ARGBX,0
5286-YHCVC,0
0637-YLETY,1
6313-GIDIT,1
1427-VERSM,1
5751-USDBL,0
7396-VJUZB,1
4821-SJHJV,0
8417-FMLZI,1
1814-WFGVS,0
8429-XIBUM,1
4742-TXUEX,0
7410-YTJIK,1
5178-LMXOP,1
8120-JDCAM,0
1624-NALOJ,1
2990-HWIML,1
3853-LYGAM,1
3244-DCJWY,1
7698-YFGEZ,0
0439-IFYUN,1
8565-WUXZU,0
3186-AJIEK,0
8033-ATFAS,0
7815-PDTHL,0
5832-XKAES,1
1934-SJVJK,1
2883-ILGWO,1
2616-FLVQC,0
1496-GGSUK,1
3082-WQRVY,0
3315-IKYZQ,0
2207-OBZNX,1
3148-BLQJT,1
2612-RRIDN,1
5046-NUHWD,1
3014-WJKSM,1
3217-FZDMN,1
1122-YJBCS,0
3192-NQECA,0
1393-IMKZG,1
3721-CNEYS,1
4501-UYKBC,0
8818-XYFCQ,1
4897-QSUYC,1
1894-IGFSG,1
5527-ACHSO,0
0709-TVGUR,1
0731-EBJQB,0
1273-MTETI,1
5930-GBIWP,0
6372-RFVNS,1
7776-QWNFX,0
1208-DNHLN,0
7733-UDMTP,1
0297-RBCSG,0
1429-UYJSV,0
9298-WGMRW,0
3703-VAVCL,1
2262-SLNVK,0
2519-FAKOD,1
5039-LZRQT,0
3325-FUYCG,1
3549-ZTMNH,0
4174-LPGTI,0
4452-ROHMO,0
8822-KNBHV,0
3750-RNQKR,0
7392-YYPYJ,1
1110-KYLGQ,0
1548-ARAGG,0
1349-WXNGG,1
9135-MGVPY,0
6035-BXTTY,0
1918-ZBFQJ,1
0795-XCCTE,0
3050-GBUSH,0
4402-FTBXC,0
2882-WDTBA,0
1447-GIQMR,1
0201-OAMXR,1
8749-JMNKX,1
3208-YPIOE,1
4124-MMETB,1
1264-BYWMS,1
2984-MIIZL,1
9451-WLYRI,0
8042-JVNFH,1
3537-RYBHH,1
2863-IMQDR,0
3523-QRQLL,0
6608-QQLVK,1
3727-RJMEO,1
6047-YHPVI,1
1980-KXVPM,1
9465-RWMXL,1
5301-GAUUY,1
4581-SSPWD,1
7181-BQYBV,1
7501-VTYLJ,0
2325-NBPZG,0
4088-YLDSU,1
6284-AHOOQ,1
5857-TYBCJ,1
7932-WPTDS,1
9912-OMZDS,1
9514-JDSKI,1
3683-QKIUE,1
4881-GQJTW,0
7801-CEDNV,0
2249-YPRNG,1
2391-IPLOP,0
5213-TWWJU,1
4353-HYOJD,0
2190-PHBHR,0
7703-ZEKEF,1
5229-PRWKT,1
9074-KGVOX,0
4763-PGDPO,1
0334-GDDSO,1
9061-TIHDA,1
3722-WPXTK,1
8685-WHQPW,1
5575-GNVDE,0
0856-NAOES,0
3211-ILJTT,1
2108-XWMPY,1
8158-WPEZG,0
8498-XXGWA,0
