BeginYear,BeginMonth,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,AllServicesCount
-1.6681370845600552,-1.3472050497767214,2.0,1,0.0,0.7996293986733265,2.01756413913047,0,1,0,0.0,1.0,1.0,1.0,1.0,2.193664858213088
-0.6156229088327345,0.0642919550100224,0.0,1,2.0,0.7753453957140998,0.8145591957924138,1,0,0,1.0,0.0,1.0,0.0,0.0,0.1571550583851332
0.9631483547582466,0.9111901578820688,0.0,0,2.0,-0.386817603048887,-0.8293058780253469,0,0,0,0.0,1.0,0.0,1.0,0.0,0.1571550583851332
0.9631483547582466,1.1934895588394174,0.0,1,2.0,0.7961602553934367,-0.8998892431439135,0,0,1,1.0,0.0,0.0,0.0,0.0,0.1571550583851332
0.4368912668945862,1.4757889597967662,0.0,0,0.0,-0.29315073449187,-0.5842539746292611,0,1,1,0.0,1.0,1.0,0.0,1.0,0.6662825083421218
0.9631483547582466,1.1934895588394174,0.0,1,2.0,0.4423076408447067,-0.8755075622572018,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.3519723915718554
0.4368912668945862,0.3465913559673712,1.0,0,3.0,-1.6582586151283931,-0.755245950528938,0,0,0,2.0,0.0,0.0,0.0,0.0,-1.3702272914858324
0.4368912668945862,-0.2180074459473263,0.0,1,2.0,0.4700607870838227,-0.1767871406735703,1,0,0,1.0,0.0,0.0,0.0,0.0,-0.3519723915718554
-1.1418799966963948,-1.3472050497767214,2.0,1,0.0,0.4405730692047616,1.3213825229674994,0,1,1,0.0,0.0,1.0,1.0,1.0,1.6845374082560989
0.9631483547582466,0.62889075692472,0.0,1,3.0,-1.4605174481746914,-0.9296458724437368,1,0,0,0.0,0.0,0.0,0.0,0.0,-1.3702272914858324
-1.6681370845600552,0.0642919550100224,2.0,1,2.0,1.2523525966989075,2.278512166556823,0,0,1,1.0,0.0,1.0,0.0,1.0,1.1754099582991104
0.4368912668945862,-0.7826062478620239,0.0,0,3.0,-0.0988787108180575,-0.2884259628199484,0,0,0,0.0,1.0,1.0,1.0,0.0,0.6662825083421218
0.9631483547582466,1.4757889597967662,0.0,0,3.0,-0.4405893238871743,-0.9161970653505038,0,1,0,0.0,0.0,0.0,0.0,0.0,-0.3519723915718554
-0.6156229088327345,0.9111901578820688,2.0,1,3.0,-1.5021471675333653,-0.495921843686972,0,0,0,2.0,0.0,0.0,0.0,0.0,-1.3702272914858324
