customerID,BeginYear,BeginMonth,PaperlessBilling,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,AllServicesCount,IsChurn,Type_One year,Type_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No
2114-MGINA,0.43689126689458624,0.62889075692472,1,0.7597342509545969,-0.42494965251298905,0,0,0,0.0,0.0,0.0,0.0,0.15715505838513322,1,False,False,False,False,True,True,False
9986-BONCE,0.9631483547582466,0.3465913559673712,0,-1.6287708972493324,-0.9023365600809474,0,0,0,0.0,0.0,0.0,0.0,-1.3702272914858324,1,False,False,False,False,False,False,True
5294-CDGWY,-1.1418799966963948,0.62889075692472,0,-0.2983544494117045,0.4375808990055659,0,1,1,1.0,1.0,1.0,0.0,1.1754099582991104,1,True,False,False,True,False,False,False
0899-LIIBW,-0.08936582096907413,-0.7826062478620239,0,1.1430745833823879,0.67208875466359,0,1,0,0.0,0.0,1.0,0.0,0.6662825083421218,0,False,False,False,True,False,True,False
1698-XFZCI,-1.1418799966963948,-1.6295044507340701,1,1.3824454696947646,2.041945820017181,0,0,0,1.0,1.0,1.0,0.0,1.6845374082560989,0,True,False,False,True,False,True,False
3070-DVEYC,0.9631483547582466,-0.5003068469046751,0,0.20293675453233018,-0.6920731525841938,1,0,0,0.0,0.0,0.0,0.0,-0.861099841528844,1,False,False,False,False,True,True,False
7359-PTSXY,0.9631483547582466,0.9111901578820687,0,-0.7684233638367334,-0.9205198962019002,0,0,0,0.0,0.0,0.0,0.0,-0.861099841528844,1,False,False,False,True,False,False,False
2805-EDJPQ,-1.1418799966963948,-0.21800744594732635,1,1.1049140073036035,1.6240721710488697,0,1,1,0.0,1.0,1.0,1.0,1.1754099582991104,0,True,False,True,False,False,True,False
6960-HVYXR,0.9631483547582466,1.4757889597967662,0,0.28099247832984425,-0.9066822630532505,0,0,0,0.0,0.0,0.0,0.0,-0.861099841528844,1,False,False,False,True,False,True,False
1704-NRWYE,0.9631483547582466,-1.6295044507340701,1,0.4492459274044854,-0.5976112932388666,1,0,0,0.0,0.0,0.0,0.0,-0.3519723915718554,1,False,False,False,True,False,True,False
0927-LCSMG,0.9631483547582466,-0.21800744594732635,0,0.234159044051336,-0.692347618035076,0,0,0,0.0,0.0,1.0,0.0,-0.3519723915718554,1,False,False,False,False,True,True,False
9402-ORRAH,0.43689126689458624,1.1934895588394174,1,0.8187096867127187,-0.30089126871418653,1,0,0,0.0,0.0,0.0,0.0,0.15715505838513322,0,False,False,False,True,False,True,False
6994-ORCWG,0.43689126689458624,1.4757889597967662,1,-0.47354618504612483,-0.5877534091280104,0,0,0,0.0,1.0,0.0,0.0,-0.3519723915718554,0,True,False,False,False,True,False,False
5356-RHIPP,0.9631483547582466,1.1934895588394174,1,-1.654789471848504,-0.9322075499853051,0,0,0,0.0,0.0,0.0,0.0,-1.3702272914858324,1,False,False,False,False,True,False,True
0727-BMPLR,-1.1418799966963948,-0.7826062478620239,1,1.1135868655033274,1.5787396274114756,1,0,0,0.0,0.0,1.0,0.0,0.6662825083421218,1,True,False,False,True,False,True,False
6261-RCVNS,-0.6156229088327345,-0.7826062478620239,0,0.20814046945216466,0.5043217478117802,0,0,0,1.0,1.0,1.0,1.0,1.6845374082560989,1,True,False,True,False,False,False,False
3391-JSQEW,-0.6156229088327345,0.9111901578820687,1,-0.6157810595215949,0.00019733090370367633,0,1,0,0.0,1.0,0.0,0.0,-0.3519723915718554,0,False,False,False,False,True,False,False
1403-GYAFU,-1.6681370845600552,-0.7826062478620239,0,-1.6599931867683384,-0.31921183756058047,0,1,1,0.0,0.0,0.0,0.0,-1.3702272914858324,0,False,True,True,False,False,False,True
7639-LIAYI,-1.1418799966963948,0.9111901578820687,1,0.41108535132570095,0.987952744387311,0,0,0,1.0,0.0,0.0,1.0,1.1754099582991104,0,False,True,True,False,False,False,False
9300-AGZNL,0.9631483547582466,1.4757889597967662,1,0.9054382687099566,-0.8984482995267814,1,0,0,0.0,0.0,0.0,0.0,0.15715505838513322,1,False,False,False,True,False,True,False
9871-ELEYA,-0.08936582096907413,-0.7826062478620239,0,-0.0086809855409299,0.12864716191662318,0,0,1,1.0,0.0,1.0,1.0,1.1754099582991104,0,False,True,True,False,False,False,False
6543-XRMYR,-0.08936582096907413,0.06429195501002241,1,1.1031794356636588,0.41594387262767735,1,0,0,0.0,1.0,0.0,0.0,0.6662825083421218,1,False,False,False,True,False,True,False
0637-UBJRP,0.43689126689458624,0.62889075692472,0,0.5602585123609499,-0.44041120624602564,0,1,1,1.0,0.0,0.0,0.0,0.15715505838513322,1,False,False,False,True,False,True,False
2452-MRMZF,-1.6681370845600552,-1.3472050497767214,1,-1.4639865914545807,-0.055198945932708465,1,1,0,0.0,0.0,0.0,0.0,-1.3702272914858324,0,False,True,True,False,False,False,True
6286-ZHAOK,0.43689126689458624,-0.21800744594732635,1,-1.4691903063744152,-0.7093416038688721,0,1,1,0.0,0.0,0.0,0.0,-1.3702272914858324,0,False,False,False,False,False,False,True
4800-CZMPC,-1.1418799966963948,0.9111901578820687,1,1.2263340220997365,1.3629411666552622,0,1,1,1.0,1.0,0.0,0.0,1.1754099582991104,1,True,False,True,False,False,True,False
4111-BNXIF,-1.6681370845600552,0.06429195501002241,1,-0.2896815912119807,0.9358500529614862,0,1,1,0.0,1.0,1.0,1.0,1.1754099582991104,0,False,True,False,True,False,False,False
1866-RZZQS,-0.6156229088327345,0.3465913559673712,1,1.0580805730250953,0.9742065997222887,1,0,0,0.0,0.0,1.0,0.0,0.6662825083421218,1,False,False,False,True,False,True,False
5178-LMXOP,0.9631483547582466,0.9111901578820687,1,0.943598844788741,-0.8979451128668305,1,1,0,0.0,0.0,0.0,0.0,0.15715505838513322,1,False,False,False,True,False,True,False
2984-MIIZL,0.9631483547582466,0.06429195501002241,1,0.23936275897117,-0.7941971724333186,0,0,0,0.0,0.0,1.0,0.0,-0.3519723915718554,1,False,False,False,False,False,True,False
5222-IMUKT,-0.08936582096907413,-0.21800744594732635,0,0.8030985419532158,0.37209801684922894,0,0,0,0.0,0.0,0.0,0.0,0.15715505838513322,0,False,False,False,True,False,True,False
8060-HIWJJ,-1.6681370845600552,0.9111901578820687,0,0.6469870943581877,1.6351194054468827,0,0,0,0.0,1.0,1.0,1.0,1.6845374082560989,0,False,True,True,False,False,False,False
3125-RAHBV,0.43689126689458624,-0.7826062478620239,0,-1.6513203285686144,-0.7277536611988936,0,0,0,0.0,0.0,0.0,0.0,-1.3702272914858324,0,True,False,True,False,False,False,True
6608-QQLVK,0.9631483547582466,1.4757889597967662,1,-0.6036390580419816,-0.9183470447157486,0,0,0,0.0,0.0,1.0,0.0,-0.3519723915718554,1,False,False,False,True,False,False,False
5482-NUPNA,0.9631483547582466,-0.21800744594732635,1,-0.2601938733329198,-0.8169549327356431,0,0,0,1.0,1.0,0.0,1.0,0.6662825083421218,1,False,False,False,False,True,False,False
9972-VAFJJ,-1.1418799966963948,0.62889075692472,1,0.9054382687099566,1.2869599810026768,1,1,0,0.0,1.0,1.0,1.0,1.1754099582991104,0,True,False,False,True,False,True,False
3656-TKRVZ,0.9631483547582466,0.9111901578820687,0,-0.43538560896734013,-0.8658783993554143,0,0,0,1.0,1.0,0.0,0.0,0.15715505838513322,1,False,False,False,True,False,False,False
7661-CPURM,0.43689126689458624,0.06429195501002241,1,0.6868822420769173,-0.15192514524781464,0,0,0,0.0,0.0,0.0,1.0,0.15715505838513322,0,True,False,True,False,False,True,False
4423-JWZJN,-1.6681370845600552,0.9111901578820687,0,0.7753453957140998,1.633564101225216,0,1,1,0.0,0.0,1.0,0.0,0.15715505838513322,0,True,False,True,False,False,True,False
6527-PZFPV,0.43689126689458624,-1.3472050497767214,1,-1.633974612169167,-0.7266100551535506,0,1,1,0.0,0.0,0.0,0.0,-1.3702272914858324,0,True,False,True,False,False,False,True
1051-GEJLJ,0.9631483547582466,1.4757889597967662,0,-1.6790734748077305,-0.9288453482119968,0,0,0,0.0,0.0,0.0,0.0,-1.3702272914858324,0,False,False,False,False,True,False,True
1032-MAELW,-1.6681370845600552,-0.21800744594732635,1,0.3659864886871374,1.4982526339402393,0,1,1,1.0,1.0,1.0,1.0,1.6845374082560989,0,True,False,False,True,False,False,False
6987-XQSJT,-1.1418799966963948,-0.7826062478620239,1,0.40241249312597716,1.0576898410323237,1,0,0,0.0,1.0,0.0,0.0,-0.3519723915718554,1,False,False,False,True,False,True,False
