customerID,BeginYear,BeginMonth,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,AllServicesCount,IsChurn
2114-MGINA,0.43689126689458624,0.62889075692472,0.0,1,3.0,0.7597342509545969,-0.42494965251298905,0,0,0,1.0,0.0,0.0,0.0,0.0,0.15715505838513322,1
9986-BONCE,0.9631483547582466,0.3465913559673712,0.0,0,0.0,-1.6287708972493324,-0.9023365600809474,0,0,0,2.0,0.0,0.0,0.0,0.0,-1.3702272914858324,1
5294-CDGWY,-1.1418799966963948,0.62889075692472,1.0,0,2.0,-0.2983544494117045,0.4375808990055659,0,1,1,0.0,1.0,1.0,1.0,0.0,1.1754099582991104,1
0899-LIIBW,-0.08936582096907413,-0.7826062478620239,0.0,0,2.0,1.1430745833823879,0.67208875466359,0,1,0,1.0,0.0,0.0,1.0,0.0,0.6662825083421218,0
1698-XFZCI,-1.1418799966963948,-1.6295044507340701,1.0,1,2.0,1.3824454696947646,2.041945820017181,0,0,0,1.0,1.0,1.0,1.0,0.0,1.6845374082560989,0
3070-DVEYC,0.9631483547582466,-0.5003068469046751,0.0,0,3.0,0.20293675453233018,-0.6920731525841938,1,0,0,1.0,0.0,0.0,0.0,0.0,-0.861099841528844,1
7359-PTSXY,0.9631483547582466,0.9111901578820687,0.0,0,2.0,-0.7684233638367334,-0.9205198962019002,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.861099841528844,1
2805-EDJPQ,-1.1418799966963948,-0.21800744594732635,1.0,1,1.0,1.1049140073036035,1.6240721710488697,0,1,1,1.0,0.0,1.0,1.0,1.0,1.1754099582991104,0
6960-HVYXR,0.9631483547582466,1.4757889597967662,0.0,0,2.0,0.28099247832984425,-0.9066822630532505,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.861099841528844,1
1704-NRWYE,0.9631483547582466,-1.6295044507340701,0.0,1,2.0,0.4492459274044854,-0.5976112932388666,1,0,0,1.0,0.0,0.0,0.0,0.0,-0.3519723915718554,1
0927-LCSMG,0.9631483547582466,-0.21800744594732635,0.0,0,3.0,0.234159044051336,-0.692347618035076,0,0,0,1.0,0.0,0.0,1.0,0.0,-0.3519723915718554,1
9402-ORRAH,0.43689126689458624,1.1934895588394174,0.0,1,2.0,0.8187096867127187,-0.30089126871418653,1,0,0,1.0,0.0,0.0,0.0,0.0,0.15715505838513322,0
6994-ORCWG,0.43689126689458624,1.4757889597967662,1.0,1,3.0,-0.47354618504612483,-0.5877534091280104,0,0,0,0.0,0.0,1.0,0.0,0.0,-0.3519723915718554,0
5356-RHIPP,0.9631483547582466,1.1934895588394174,0.0,1,3.0,-1.654789471848504,-0.9322075499853051,0,0,0,2.0,0.0,0.0,0.0,0.0,-1.3702272914858324,1
0727-BMPLR,-1.1418799966963948,-0.7826062478620239,1.0,1,2.0,1.1135868655033274,1.5787396274114756,1,0,0,1.0,0.0,0.0,1.0,0.0,0.6662825083421218,1
6261-RCVNS,-0.6156229088327345,-0.7826062478620239,1.0,0,1.0,0.20814046945216466,0.5043217478117802,0,0,0,0.0,1.0,1.0,1.0,1.0,1.6845374082560989,1
3391-JSQEW,-0.6156229088327345,0.9111901578820687,0.0,1,3.0,-0.6157810595215949,0.00019733090370367633,0,1,0,0.0,0.0,1.0,0.0,0.0,-0.3519723915718554,0
1403-GYAFU,-1.6681370845600552,-0.7826062478620239,2.0,0,1.0,-1.6599931867683384,-0.31921183756058047,0,1,1,2.0,0.0,0.0,0.0,0.0,-1.3702272914858324,0
7639-LIAYI,-1.1418799966963948,0.9111901578820687,2.0,1,1.0,0.41108535132570095,0.987952744387311,0,0,0,0.0,1.0,0.0,0.0,1.0,1.1754099582991104,0
9300-AGZNL,0.9631483547582466,1.4757889597967662,0.0,1,2.0,0.9054382687099566,-0.8984482995267814,1,0,0,1.0,0.0,0.0,0.0,0.0,0.15715505838513322,1
9871-ELEYA,-0.08936582096907413,-0.7826062478620239,2.0,0,1.0,-0.0086809855409299,0.12864716191662318,0,0,1,0.0,1.0,0.0,1.0,1.0,1.1754099582991104,0
